"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.427156167E0,-2.856958923E0,-3.148253174E0,5.161416779E0,6.686847949E0
2.437177167E0,-3.116519165E0,-2.375859375E0,4.107308807E0,5.676916867E0
2.447197167E0,-3.991150360E0,-1.947300568E0,3.758384399E0,5.817792880E0
2.457218167E0,-4.970863037E0,-2.117796021E0,4.561015320E0,7.070883966E0
2.467239167E0,-5.704487457E0,-2.715353394E0,5.986351318E0,8.703489146E0
2.477260167E0,-6.151308289E0,-3.232378235E0,6.741680603E0,9.681793226E0
2.487280167E0,-6.813531189E0,-3.258424072E0,6.791377258E0,1.015698478E1
2.497301167E0,-7.336244202E0,-3.462898865E0,6.129453735E0,1.016771118E1
2.507322167E0,-7.206164703E0,-4.480333099E0,6.075565796E0,1.043622030E1
2.517342167E0,-8.549171906E0,-4.329147491E0,6.155349884E0,1.138938938E1
2.527363167E0,-9.593400421E0,-4.667444000E0,3.736080780E0,1.130383407E1
2.537384167E0,-8.533903656E0,-5.871689758E0,1.692530365E0,1.049613792E1
2.547404167E0,-7.964787140E0,-5.701194305E0,5.960604858E-1,9.813090176E0
2.557425167E0,-7.389982452E0,-5.179379425E0,1.279838562E-1,9.025197601E0
2.567446167E0,-6.503376160E0,-4.914729767E0,-6.556365967E-2,8.151856767E0
2.577466167E0,-5.725294189E0,-5.027445374E0,4.053570557E-1,7.630105824E0
2.587487167E0,-4.988825684E0,-5.375771027E0,1.655856628E0,7.518587434E0
2.597508167E0,-3.194656677E0,-5.474565582E0,3.759432220E0,7.369533922E0
2.607528167E0,-3.293600922E0,-5.222789154E0,4.417314148E0,7.591969301E0
2.617549167E0,-4.331243134E0,-5.067112885E0,3.840264130E0,7.693044173E0
2.627570167E0,-4.251758423E0,-5.500611420E0,3.552113342E0,7.807156004E0
2.637590167E0,-4.033661957E0,-7.058721313E0,4.875062256E0,9.479567889E0
2.647611167E0,-4.328099670E0,-7.093000031E0,4.997208252E0,9.696142867E0
2.657632167E0,-4.753365326E0,-6.630162506E0,4.559817810E0,9.345880121E0
2.667652167E0,-4.888983307E0,-6.355034637E0,4.824467468E0,9.357569629E0
2.677673167E0,-5.265600128E0,-6.251300354E0,4.913681946E0,9.536748455E0
2.687694167E0,-5.777086487E0,-6.045927429E0,4.787793732E0,9.635919031E0
2.697714167E0,-6.033353577E0,-5.825735321E0,4.712949371E0,9.620417828E0
2.707735167E0,-5.917494507E0,-5.290598145E0,4.460424500E0,9.105084112E0
2.717756167E0,-6.573430481E0,-4.264032898E0,4.228856049E0,8.903661512E0
2.727776167E0,-7.881560211E0,-3.698059845E0,4.237687683E0,9.682594429E0
2.737797167E0,-9.282047882E0,-4.214485931E0,4.377197571E0,1.109405981E1
2.747818167E0,-1.044408142E1,-4.796325989E0,4.127965851E0,1.221162077E1
2.757838167E0,-1.097802109E1,-4.910688171E0,4.160448303E0,1.272560943E1
2.767859167E0,-1.088356750E1,-4.384232941E0,5.403014374E0,1.291766637E1
2.777880167E0,-1.101664078E1,-4.291126556E0,5.631589050E0,1.309560752E1
2.787900167E0,-1.044632675E1,-4.106859741E0,3.958667908E0,1.190223051E1
2.797921167E0,-9.900711365E0,-3.720213776E0,2.900967407E0,1.096720967E1
2.807942167E0,-9.602980499E0,-4.229754181E0,3.146756287E0,1.095491351E1
2.817962167E0,-9.904303894E0,-5.516179047E0,3.339705048E0,1.181850653E1
2.827983167E0,-1.082758392E1,-6.800508270E0,3.295097809E0,1.320383111E1
2.838004292E0,-1.167676804E1,-8.076454926E0,3.885320435E0,1.471977414E1
2.848024292E0,-1.160836029E1,-8.551866302E0,4.716242523E0,1.517008205E1
2.858045292E0,-1.150103348E1,-7.355703735E0,3.768413544E0,1.416266533E1
2.868066292E0,-1.188767944E1,-5.834866333E0,3.171155548E0,1.361685776E1
2.878086292E0,-1.210143494E1,-4.934937744E0,3.477418671E0,1.352371172E1
2.888107292E0,-1.239287888E1,-4.518054657E0,3.493135986E0,1.364544846E1
2.898128292E0,-1.252340744E1,-4.846920776E0,3.762725372E0,1.394584085E1
2.908148292E0,-1.273836044E1,-5.682333527E0,3.867956543E0,1.447466162E1
2.918169292E0,-1.269210663E1,-7.240892487E0,3.405867462E0,1.500400039E1
2.928190292E0,-1.256561966E1,-9.364376678E0,3.061583405E0,1.596745568E1
2.938210292E0,-1.200129318E1,-1.151450546E1,3.279979248E0,1.695208359E1
2.948231292E0,-1.073792038E1,-1.302351746E1,2.807561646E0,1.711132208E1
2.958252292E0,-8.703950043E0,-1.207389221E1,1.030606842E0,1.491977781E1
2.968273292E0,-7.688910828E0,-9.717941437E0,1.826801147E0,1.252577095E1
2.978293292E0,-5.169949036E0,-8.371042328E0,4.080364838E0,1.065138958E1
2.988314292E0,-3.392994232E0,-7.172185364E0,3.931274872E0,8.854805185E0
2.998335292E0,-4.161496124E0,-5.843697968E0,2.280807037E0,7.527877302E0
3.008355292E0,-5.078788605E0,-5.699847107E0,1.041234741E0,7.704967263E0
3.018376292E0,-4.141886902E0,-5.892945557E0,9.333091736E-1,7.263132964E0
3.028397292E0,-5.723797302E0,-5.954766998E0,1.251248016E0,8.353845052E0
3.038417292E0,-7.063062286E0,-6.162834320E0,1.746268616E0,9.535031714E0
3.048438292E0,-7.512278137E0,-5.977070618E0,2.701881409E0,9.972956388E0
3.058459292E0,-7.692054291E0,-5.480702820E0,3.260819092E0,9.991933935E0
3.068479292E0,-7.944429474E0,-5.079537048E0,3.219804382E0,9.964075298E0
3.078500292E0,-7.908803558E0,-4.798271942E0,2.649789734E0,9.622576214E0
3.088521292E0,-7.711663513E0,-4.555476837E0,1.987566833E0,9.174559677E0
3.098541292E0,-6.942712555E0,-4.166735229E0,1.323847046E0,8.204603043E0
3.108562292E0,-6.093229065E0,-3.430566101E0,4.191284180E-1,7.005133321E0
3.118583292E0,-4.975054321E0,-2.406246185E0,-7.866142273E-1,5.582109650E0
3.128603292E0,-4.315675507E0,-1.607956238E0,-1.564546509E0,4.863988499E0
3.138624292E0,-3.814966736E0,-1.302890625E0,-1.963916016E0,4.484245900E0
3.148645292E0,-3.483555908E0,-8.601113892E-1,-2.234702911E0,4.227156310E0
