"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.757167542E0,1.532812500E0,5.546865234E0,1.156195679E0,5.869754385E0
2.767186542E0,1.571731567E0,4.960235138E0,1.916614380E0,5.545059371E0
2.777205542E0,1.369352417E0,4.429438934E0,3.639830933E0,5.894355311E0
2.787224542E0,-7.191046143E-1,2.444716187E0,2.962190094E0,3.907469620E0
2.797243542E0,5.002597046E-1,5.590574341E0,2.942131805E0,6.337264457E0
2.807262542E0,7.475454712E-1,4.510719910E0,2.247725830E0,5.094868962E0
2.817282542E0,1.285826111E-1,1.905537415E0,2.445913696E-1,1.925469102E0
2.827301542E0,2.198627930E0,1.992506561E0,1.715283051E0,3.427279258E0
2.837320542E0,4.073030090E-1,1.327289886E0,8.593629456E-1,1.632819297E0
2.847339542E0,1.651066589E-1,5.102888489E-1,-4.565505981E-2,5.382743748E-1
2.857358542E0,4.583468628E-1,1.148411865E0,1.691482544E-2,1.236615450E0
2.867377542E0,7.042854309E-1,6.837780762E-1,-2.721340942E-1,1.018639971E0
2.877396542E0,3.788621521E-1,5.773493958E-1,-2.884501648E-1,7.483798184E-1
2.887415542E0,1.445993042E-1,4.345463562E-1,-1.487905884E-1,4.815372609E-1
2.897434542E0,4.721182251E-1,2.354603577E-1,-2.249821472E-1,5.735452598E-1
2.907453542E0,6.497987366E-1,-4.291575623E-1,-2.149530029E-1,8.078486274E-1
2.917472542E0,1.086889801E0,-3.237767029E-1,1.591191101E-1,1.145198535E0
2.927491542E0,2.240840149E0,-7.396119690E-1,1.963466949E0,3.069787110E0
2.937511542E0,2.498753815E0,-8.954379272E-1,2.027384033E0,3.340039779E0
2.947530542E0,3.633993073E0,-1.201401672E0,-7.954458618E-1,3.909220606E0
2.957549542E0,3.750450897E0,-2.001188507E0,-1.769320679E0,4.604468812E0
2.967568542E0,2.937192078E0,-2.519710236E0,-1.767674103E0,4.254492767E0
2.977587542E0,1.495689697E0,-3.295097809E0,-4.117038574E0,5.481310415E0
2.987606542E0,-2.345622253E0,-1.200234100E1,-2.862736908E1,3.113012036E1
2.997625542E0,-1.860630798E-1,-9.686506805E0,-1.613345032E1,1.881890679E1
3.007644542E0,1.782343597E0,-1.084509750E1,6.724466400E0,1.288453868E1
3.017663542E0,-3.169508972E0,-2.291839096E1,2.083367615E0,2.323012811E1
3.027682542E0,-2.072140961E0,-5.016488159E1,-1.052012329E0,5.021868022E1
3.037701542E0,-1.205353455E1,-6.156083359E1,3.502716064E0,6.282748560E1
3.047720542E0,-3.135454788E1,-7.258855133E1,-1.945923431E1,8.143013728E1
3.057739542E0,-2.754871216E1,-7.889688309E1,-9.140442352E0,8.406662470E1
3.067759542E0,-1.930894684E1,-7.821370377E1,2.607906830E1,8.467784060E1
3.077778542E0,-1.651261185E1,-6.724107147E1,1.470392303E0,6.925453123E1
3.087797542E0,-1.001582199E1,-3.472194534E1,-1.182481018E1,3.802310238E1
3.097816542E0,-9.987680511E0,-1.659973068E1,-2.078832047E1,2.841582461E1
3.107835542E0,-8.432115326E0,-1.164129181E1,-1.031714539E1,1.769360712E1
3.117854542E0,-5.693709869E0,-9.699529724E0,-1.701511688E0,1.137516378E1
3.127873542E0,-4.234244843E0,-8.021668854E0,6.420149231E-1,9.093304336E0
3.137892542E0,-3.703448639E0,-5.560337219E0,1.026714935E0,6.759217808E0
3.147911542E0,-2.484982452E0,-2.641407166E0,-7.738906860E-2,3.627417631E0
3.157930542E0,-1.521885223E0,-2.233355713E-1,-1.945055237E0,2.479768797E0
3.167949542E0,-1.013392639E0,1.208736420E0,-2.373614044E0,2.849921403E0
3.177968542E0,-5.056484985E-1,1.613195343E0,-7.009922791E-1,1.830155675E0
3.187988542E0,-4.698728943E-1,1.615141296E0,-2.520758057E-1,1.700883346E0
3.198007542E0,-5.653742981E-1,1.566193085E0,-2.486329651E-1,1.683575727E0
3.208026542E0,-2.350112915E-1,1.728904724E0,-1.410666504E0,2.243729448E0
3.218045542E0,8.707392883E-1,2.093396759E0,-4.603526917E0,5.131564768E0
